,data,porto
0,2023-01-01,9992517
1,2023-02-01,11986607
2,2023-03-01,14826853
3,2023-04-01,13829706
4,2023-05-01,13908953
5,2023-06-01,13456205
6,2023-07-01,14314263
7,2023-08-01,14296738
8,2023-09-01,13499045
9,2023-10-01,13449737
10,2023-11-01,12573198
11,2023-12-01,12495542
12,2024-01-01,10288619
13,2024-02-01,12404591
14,2024-03-01,15360687
15,2024-04-01,14297150
16,2024-05-01,14357130
17,2024-06-01,13859857
18,2024-07-01,14744328
19,2024-08-01,14691344
20,2024-09-01,13884101
21,2024-10-01,13826008
22,2024-11-01,12946574
23,2024-12-01,12885028
24,2025-01-01,10584722
25,2025-02-01,12822576
26,2025-03-01,15894521
27,2025-04-01,14764594
28,2025-05-01,14805307
29,2025-06-01,14263508
30,2025-07-01,15174393
31,2025-08-01,15085951
32,2025-09-01,14269158
33,2025-10-01,14202279
34,2025-11-01,13319949
35,2025-12-01,13274514
36,2026-01-01,10880824
37,2026-02-01,13240561
38,2026-03-01,16428355
39,2026-04-01,15232037
40,2026-05-01,15253484
41,2026-06-01,14667160
42,2026-07-01,15604458
43,2026-08-01,15480557
44,2026-09-01,14654214
45,2026-10-01,14578549
46,2026-11-01,13693325
47,2026-12-01,13664000
