data,porto,fitted,residuo
2005-01-01,5027941,4662669.0,365272.0
2005-02-01,5316605,4462884.0,853721.0
2005-03-01,5899912,5217837.0,682075.0
2005-04-01,5850639,5415720.0,434919.0
2005-05-01,6826372,5841765.0,984607.0
2005-06-01,6974470,6190476.0,783994.0
2005-07-01,7071778,6573090.0,498688.0
2005-08-01,7068940,7193830.0,-124890.0
2005-09-01,6045096,6568028.0,-522932.0
2005-10-01,6416200,6676866.0,-260666.0
2005-11-01,5808336,5852437.0,-44101.0
2005-12-01,5373390,5484798.0,-111408.0
2006-01-01,4588410,4958771.0,-370361.0
2006-02-01,5321605,4880869.0,440736.0
2006-03-01,5853512,5751671.0,101841.0
2006-04-01,6450290,5883163.0,567127.0
2006-05-01,6323896,6289942.0,33954.0
2006-06-01,6601746,6594128.0,7618.0
2006-07-01,6973161,7003155.0,-29994.0
2006-08-01,7885080,7588436.0,296644.0
2006-09-01,6755243,6953085.0,-197842.0
2006-10-01,6726021,7053137.0,-327116.0
2006-11-01,6164815,6225812.0,-60997.0
2006-12-01,6544091,5874284.0,669807.0
2007-01-01,5875643,5254874.0,620769.0
2007-02-01,5938955,5298854.0,640101.0
2007-03-01,6679109,6285506.0,393603.0
2007-04-01,6557842,6350607.0,207235.0
2007-05-01,6813859,6738120.0,75739.0
2007-06-01,7207851,6997779.0,210072.0
2007-07-01,7770913,7433220.0,337693.0
2007-08-01,7827568,7983042.0,-155474.0
2007-09-01,7388288,7338141.0,50147.0
2007-10-01,7068229,7429407.0,-361178.0
2007-11-01,6799628,6599188.0,200440.0
2007-12-01,5784730,6263770.0,-479040.0
2008-01-01,5516404,5550977.0,-34573.0
2008-02-01,5618934,5716838.0,-97904.0
2008-03-01,6943696,6819340.0,124356.0
2008-04-01,6468280,6818051.0,-349771.0
2008-05-01,6996279,7186297.0,-190018.0
2008-06-01,7608107,7401431.0,206676.0
2008-07-01,7955171,7863286.0,91885.0
2008-08-01,7620866,8377648.0,-756782.0
2008-09-01,7772369,7723198.0,49171.0
2008-10-01,7491845,7805678.0,-313833.0
2008-11-01,7031429,6972563.0,58866.0
2008-12-01,6660337,6653256.0,7081.0
2009-01-01,5154919,5847079.0,-692160.0
2009-02-01,5261469,6134823.0,-873354.0
2009-03-01,6694959,7353174.0,-658215.0
2009-04-01,7177982,7285494.0,-107512.0
2009-05-01,7386917,7634474.0,-247557.0
2009-06-01,7201184,7805083.0,-603899.0
2009-07-01,6891210,8293351.0,-1402141.0
2009-08-01,8351298,8772254.0,-420956.0
2009-09-01,7795958,8108254.0,-312296.0
2009-10-01,7764164,8181948.0,-417784.0
2009-11-01,7401635,7345939.0,55696.0
2009-12-01,7054276,7042741.0,11535.0
2010-01-01,6318106,6143182.0,174924.0
2010-02-01,6374267,6552807.0,-178540.0
2010-03-01,7915546,7887008.0,28538.0
2010-04-01,7454240,7752938.0,-298698.0
2010-05-01,8988251,8082651.0,905600.0
2010-06-01,8377346,8208734.0,168612.0
2010-07-01,8603809,8723416.0,-119607.0
2010-08-01,9547549,9166860.0,380689.0
2010-09-01,9114842,8493311.0,621531.0
2010-10-01,9588167,8558219.0,1029948.0
2010-11-01,7700316,7719315.0,-18999.0
2010-12-01,7285428,7432227.0,-146799.0
2011-01-01,6524097,6439285.0,84812.0
2011-02-01,6176029,6970792.0,-794763.0
2011-03-01,7936290,8420842.0,-484552.0
2011-04-01,8502855,8220382.0,282473.0
2011-05-01,7946768,8530828.0,-584060.0
2011-06-01,9040781,8612386.0,428395.0
2011-07-01,9633471,9153481.0,479990.0
2011-08-01,9363761,9561466.0,-197705.0
2011-09-01,8926640,8878367.0,48273.0
