data,porto
2023-01-01,10263991.863
2023-02-01,10984020.633
2023-03-01,15335869.556
2023-04-01,13733552.339
2023-05-01,15147374.291
2023-06-01,15606571.987
2023-07-01,15350866.748
2023-08-01,15159596.353
2023-09-01,16212693.747
2023-10-01,14355541.073
2023-11-01,15725099.146
2023-12-01,15616451.472
2024-01-01,11914964.716
2024-02-01,14318569.963
2024-03-01,16110370.044
2024-04-01,14699585.316
2024-05-01,15889252.662
2024-06-01,16257805.82
2024-07-01,16425794.882
2024-08-01,15899258.105
2024-09-01,15960115.653
2024-10-01,15524346.967
2024-11-01,14204189.029
2024-12-01,12787985.864
2025-01-01,11621655.774
2025-02-01,13119060.635
2025-03-01,16096566.348
2025-04-01,14850899.216
2025-05-01,16656799.972
2025-06-01,16039280.437
2025-07-01,17405401.419
2025-08-01,16481205.647
2025-09-01,16547053.868
2025-10-01,16813246.96
2025-11-01,16126648.129
2025-12-01,14739015.963
2026-01-01,12728098.314
2026-02-01,13172559.456
2026-03-01,16885580.528
