data,acucar,farelo_soja,milho,outros,graos_soja,porto
2005-01-01,581383.455,148641.973,67968.749,1675915.136,107966.28499999999,5027935.933
2005-02-01,878015.791,207084.35,11623.584,1709254.2619999999,390955.911,5316604.778
2005-03-01,610138.354,186525.305,12014.295,1730293.75,896454.461,5899909.231
2005-04-01,764282.986,340274.229,7687.881,1860562.606,858345.463,5850636.302
2005-05-01,1007703.226,330537.573,12814.725,2027806.818,1062494.325,6826360.941
2005-06-01,1310655.446,301592.295,3985.769,1954591.071,923102.61,6974473.321
2005-07-01,1201820.642,270746.365,5942.269,2098358.022,964641.15,7071774.523
2005-08-01,1375694.915,208010.834,3063.299,2364857.204,725978.402,7068945.089
2005-09-01,896845.306,278778.558,1644.441,2056304.264,656346.695,6045105.598
2005-10-01,741059.273,259139.925,2112.046,2201127.84,497262.713,6416202.274
2005-11-01,899938.083,206181.46600000001,3435.3650000000002,2053614.194,425010.951,5808338.578
2005-12-01,560709.73,217542.46,3889.217,1907716.089,206592.946,5373384.718
2006-01-01,496743.514,95090.402,2993.0370000000003,1710207.36,81553.634,4588414.15
2006-02-01,714095.87,260620.457,2024.781,1700801.182,339845.635,5321603.904
2006-03-01,559473.288,224962.394,1151.874,1775532.665,1145887.557,5853510.333
2006-04-01,612102.149,363230.855,2074.101,1916482.131,1289658.279,6450282.908
2006-05-01,892746.004,275191.358,2695.472,2026967.136,624619.164,6323906.049
2006-06-01,1195564.273,252228.745,2048.777,1960370.227,810308.111,6601739.895
2006-07-01,1428223.244,250914.181,293.23,1967646.851,809302.583,6973166.512
2006-08-01,1293855.11,290143.583,1198.32,2436383.089,736157.764,7882711.329
2006-09-01,1220759.122,266225.038,468.679,2133161.752,407563.478,6755243.067
2006-10-01,1082566.837,335017.202,1165.3600000000001,2326287.306,286745.98699999996,6726027.191
2006-11-01,1005448.584,163609.438,410.5,2263585.671,157152.35700000002,6164819.983
2006-12-01,1179554.679,287217.355,274.262,2319729.342,86585.391,6544093.955
2007-01-01,902930.294,73100.498,903.3900000000001,2061214.794,47331.333,5875631.026
2007-02-01,653108.525,226533.065,727.208,2191237.133,273686.027,5938947.341
2007-03-01,712382.866,165828.54799999998,1664.192,2098101.373137,997258.917,6679112.881399
2007-04-01,708592.695,309496.12299999996,11186.748,1827519.512,1015245.92,6557850.892
2007-05-01,992307.484,294571.309,104732.536,2018655.301,620279.257,6813862.985
2007-06-01,1336169.578,266572.949,28675.882999999998,2013781.631,647753.963,7207851.918
